File Name,Created,Last Modified,Size (bytes),Directory Path
P6120124.JPG,Mon Aug  2 10:19:27 2021,Sat Jun 12 03:12:44 2010,902108,E:\picture\100OLYMP
P6120125.JPG,Mon Aug  2 10:19:27 2021,Sat Jun 12 06:32:38 2010,718554,E:\picture\100OLYMP
P6120126.JPG,Mon Aug  2 10:19:27 2021,Sat Jun 12 06:32:54 2010,788879,E:\picture\100OLYMP
P6220311.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 15:50:18 2011,4222506,E:\picture\100OLYMP
P6220312.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 15:50:56 2011,3939647,E:\picture\100OLYMP
P6220314.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:08:54 2011,4200611,E:\picture\100OLYMP
P6220315.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:09:16 2011,4003655,E:\picture\100OLYMP
P6220316.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:23:34 2011,4275464,E:\picture\100OLYMP
P6220317.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:23:44 2011,4470340,E:\picture\100OLYMP
P6220318.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:24:10 2011,4096756,E:\picture\100OLYMP
P6220319.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:31:16 2011,4458366,E:\picture\100OLYMP
P6220320.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 17:00:02 2011,3286350,E:\picture\100OLYMP
P6220321.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 16:59:30 2011,3406227,E:\picture\100OLYMP
P6220322.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 16:59:10 2011,3418998,E:\picture\100OLYMP
P6220323.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 16:58:00 2011,3593707,E:\picture\100OLYMP
P6220324.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 16:57:12 2011,3413503,E:\picture\100OLYMP
P6220325.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 16:56:08 2011,4111871,E:\picture\100OLYMP
P6220326.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 16:54:52 2011,3555017,E:\picture\100OLYMP
P6220327.JPG,Mon Aug  2 10:19:27 2021,Thu Jun 23 16:53:52 2011,3310980,E:\picture\100OLYMP
P6220328.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:38:02 2011,4297196,E:\picture\100OLYMP
P6220329.JPG,Mon Aug  2 10:19:27 2021,Wed Jun 22 16:38:26 2011,4285087,E:\picture\100OLYMP
